;NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID;BAIRRO;Tamanho;Endereco;BAIRRO_LOC;LATITUDE;LONGITUDE;LAT_BAIRRO;LONG_BAIRRO
39;EEEP Maria Ângela da Silveira Borges;;;AV. CÉSAR CALS, 1180 , VICENTE PINZON, FORTALEZA , CE, 60182,035;;;Ensino Médio;VICENTE PINZON;7; CÉSAR CALS  1180 , FORTALEZA;Vicente Pinzon, FORTALEZA, CE;-3.7221405;-38.4638883;-3.7281452;-38.4697385
40;Escola Educadora Nova Aldeota;;;R. DES. LAURO NOGUEIRA, 321 , PAPICU, FORTALEZA , CE, 60175,055;;;Ensino Médio;PAPICU;7;R. DESEMBARGADOR LAURO NOGUEIRA  321 , FORTALEZA;Papicu, FORTALEZA, CE;-3.7431015;-38.4689542;-3.7395449;-38.4753765
41;Colégio Avançar;;;AV. DOM MANUEL, 526 , CENTRO, FORTALEZA , CE, 60060,090;;;Ensino Médio;CENTRO;7; DOM MANUEL  526 , FORTALEZA;Centro, FORTALEZA, CE;-3.7369211;-38.5533107;-3.7281287;-38.527412
42;EEM São João Piamarta;;;AV. AGUANAMBI, 2479 , FÁTIMA, FORTALEZA , CE, 60415,390;;;Ensino Médio;FÁTIMA;7; AGUANAMBI  2479 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7592416;-38.5231979;-3.7517525;-38.5290848
43;Unif Ensino Fundamental;;;RUA CORONEL HONÓRIO VIEIRA, 850 , PARQUE MANIBURA, FORTALEZA , CE, 60821,836;;;Ensino Médio;PARQUE MANIBURA;7;RUA CORONEL HONÓRIO VIEIRA  850 , FORTALEZA;Parque Manibura, FORTALEZA, CE;-3.791223;-38.4871747;-3.7916672;-38.4861101
44;Curso Aprender: Aulas Particulares, Ensino Fundamental e Médio, Reforço Escolar em Papicu Fortaleza CE;;;R. JOAQUIM LIMA, 45 , PAPICU, FORTALEZA , CE, 60175,005;;;Ensino Médio;PAPICU;7;R. JOAQUIM LIMA  45 , FORTALEZA;Papicu, FORTALEZA, CE;-3.7391036;-38.4860272;-3.7395449;-38.4753765
45;Instituto de Educação do Ceará;;;R. GRACILIANO RAMOS, 52 , FÁTIMA, FORTALEZA , CE, 60411,200;;;Ensino Médio;FÁTIMA;7;R. GRACILIANO RAMOS  52 , FORTALEZA;Fátima, FORTALEZA, CE;-3.7524123;-38.5316583;-3.7517525;-38.5290848
46;Colégio Nossa Senhora das Graças;;;RUA MONSENHOR OTÁVIO DE CASTRO, 535 , FÁTIMA, FORTALEZA , CE, 60050,150;;;Ensino Médio;FÁTIMA;7;RUA MONSENHOR OTÁVIO DE CASTRO  535 , FORTALEZA;Fátima, FORTALEZA, CE;-3.747279;-38.5265161;-3.7517525;-38.5290848
47;Escola Lápis na Mão;;;ALAMEDA DAS VIOLETAS, 303 , CIDADE 2000, FORTALEZA , CE, 60190,310;;;Ensino Médio;CIDADE 2000;7;ALAMEDA DAS VIOLETAS  303 , FORTALEZA;Cidade 2000, FORTALEZA, CE;-3.7518256;-38.4693074;-3.7501025;-38.4716231
48;Colégio Santa Cecília;;;AV. SENADOR VIRGÍLIO TÁVORA, 2000 , ALDEOTA, FORTALEZA , CE, 60170,078;;;Ensino Médio;ALDEOTA;7; SENADOR VIRGÍLIO TÁVORA  2000 , FORTALEZA;Aldeota, FORTALEZA, CE;-3.7439191;-38.4965288;-3.7341528;-38.5096997
49;Escola Municipal Dom Helder Câmara;;;RUA FREI ODILON, 623B , FLORESTA, FORTALEZA , CE, 60336,190;;;Ensino Médio;FLORESTA;7;RUA FREI ODILON  623B , FORTALEZA;Floresta, FORTALEZA, CE;-3.7257202;-38.5729164;-3.7208413;-38.5764226
