NOME;PONTUACAO;COMENTARIO;LOCAL;TIPO;TEMPO_ESPERA;BUSCA_ID
Colégio Deoclécio Ferro;;;R. Minervino de Castro, 987 - Parque Araxá, Fortaleza - CE, 60430-620;;;Ensino Médio
Escola Nossa Senhora Auxiliadora;;;Avenida Imperador, 1490 - Centro, Fortaleza - CE, 60015-052;;;Ensino Médio
IEP;;;Edifício Personalidade Center - R. Barão de Aracati, 2135 - 3º Andar - Joaquim Távora (Fortaleza), Fortaleza - CE, 60115-082;;;Ensino Médio
Escola Espaco Ativo;;;R. Andrade Furtado, 810 - Cocó, Fortaleza - CE, 60190-170;;;Ensino Médio
Colégio Adventista de Fortaleza;;;Av. da Universidade, 2083 - Benfica, Fortaleza - CE, 60020-180;;;Ensino Médio
Instituto Pequeno Príncipe;;;Rua Conselheiro Tristão, 788 - Centro, Fortaleza - CE, 60050-100;;;Ensino Médio
EMEIEF Profa. Consuelo Amora;;;Av. Dos Jangadeiros, 577 - Vicente Pinzon, Fortaleza - CE, 60175-440;;;Ensino Médio
EEEP Presidente Roosevelt;4.6;99 comentários;Av. Bezerra de Menezes, 435 - Farias Brito, Fortaleza - CE, 60325-005;Escola técnica em Fortaleza, Ceará;;Ensino Médio
Instituto Educacional Girassol;;;R. Antônio Augusto, 1300 - Aldeota, Fortaleza - CE, 60110-370;;;Ensino Médio
Escola Bedelândia;;;R. J da Penha, 972 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60110-120;;;Ensino Médio
EMEIEF Dom Manoel Da Silva Gomes;;;Rua Samuel Uchôa, 550 - Jardim América, Fortaleza - CE, 60416-205;;;Ensino Médio
EMEIF Frei Lauro Schwartz;;;R. Antônio Pompeu, 2005 - Farias Brito, Fortaleza - CE, 60015-107;;;Ensino Médio
EMEIEF Alba Frota;;;Av. Dom Manuel, 914 - Centro, Fortaleza - CE, 60060-090;;;Ensino Médio
Escola de Ensino Fundamental e Médio Juvenal Galeno;;;R. Oto de Alencar, 193 - Jacarecanga, Fortaleza - CE, 60010-270;;;Ensino Médio
